iter	RMSE
0	17.87491254
1	16.95213215
2	16.11688244
3	15.3735996
4	14.66358606
5	14.02174618
6	13.44971414
7	12.9270202
8	12.46536451
9	12.0534641
10	11.68519581
11	11.35898989
12	11.06992676
13	10.81167242
14	10.58249034
15	10.38155654
16	10.20370124
17	10.0453028
18	9.905281522
19	9.781675852
20	9.674657981
21	9.577495022
22	9.493596461
23	9.420616505
24	9.352838616
25	9.293483357
26	9.241689212
27	9.196549604
28	9.158537182
29	9.124352831
30	9.09216981
31	9.064985713
32	9.039727059
33	9.018708328
34	8.999683396
35	8.982501174
36	8.967581946
37	8.953987475
38	8.942409187
39	8.931502973
40	8.921917376
41	8.913236287
42	8.905943135
43	8.899361034
44	8.893557872
45	8.88790879
46	8.8832312
47	8.87810085
48	8.874559578
49	8.870430065
50	8.867187287
51	8.863860953
52	8.861235054
53	8.857777518
54	8.855722601
55	8.853544359
56	8.851219888
57	8.849286712
58	8.84726181
59	8.845262249
60	8.843943332
61	8.842323712
62	8.84095162
63	8.840009112
64	8.839322666
65	8.838094546
66	8.83754622
67	8.83624955
68	8.835377962
69	8.834351569
70	8.833757294
71	8.832896891
72	8.832215436
73	8.83154689
74	8.831098767
75	8.830752548
76	8.829927983
77	8.829353436
78	8.828926102
79	8.828341112
80	8.827791507
81	8.827469677
82	8.826755671
83	8.826393168
84	8.82612393
85	8.825538691
86	8.825266498
87	8.825122974
88	8.824514868
89	8.823877928
90	8.823733383
91	8.823295302
92	8.822706915
93	8.822277074
94	8.821795494
95	8.82155024
96	8.821121829
97	8.820973505
98	8.820807287
99	8.820718992
100	8.820372986
101	8.820331181
102	8.820161724
103	8.819874412
104	8.819649342
105	8.819454259
106	8.818884992
107	8.818392859
108	8.817923107
109	8.817692024
110	8.817233066
111	8.817233033
112	8.816746867
113	8.816257919
114	8.816237443
115	8.815857226
116	8.815673504
117	8.81523985
118	8.815113848
119	8.81454247
120	8.814321285
121	8.814236916
122	8.813857869
123	8.813854442
124	8.813702282
125	8.813543232
126	8.813440992
127	8.813244839
128	8.813202079
129	8.813194382
130	8.81302337
131	8.812592721
132	8.812382976
133	8.812380846
134	8.812059419
135	8.811765391
136	8.81158147
137	8.811304645
138	8.811290808
139	8.810919131
140	8.810707352
141	8.810257898
142	8.810064286
143	8.809758163
144	8.809691208
145	8.809432037
146	8.809073907
147	8.808965185
148	8.808662249
149	8.808175692
150	8.807813836
151	8.807349447
152	8.80733815
153	8.806943446
154	8.806870307
155	8.806609622
156	8.80639701
157	8.805761147
158	8.805751535
159	8.805447124
160	8.805391755
161	8.804910517
162	8.804645251
163	8.804204616
164	8.804020675
165	8.803840653
166	8.803532529
167	8.803093141
168	8.802603835
169	8.802597945
170	8.802399237
171	8.802072608
172	8.801606662
173	8.801365064
174	8.801089594
175	8.800811511
176	8.80033846
177	8.799975671
178	8.799673834
179	8.799244661
180	8.798825534
181	8.798472325
182	8.798025064
183	8.797665006
184	8.797171451
185	8.796789442
186	8.796713715
187	8.796358091
188	8.79593436
189	8.795351599
190	8.795281812
191	8.794836803
192	8.794234855
