iter	Passed	Remaining
0	34	10458
1	73	10928
2	100	9981
3	131	9696
4	158	9364
5	186	9115
6	213	8956
7	244	8920
8	275	8902
9	302	8783
10	334	8784
11	364	8742
12	398	8788
13	429	8771
14	459	8730
15	487	8645
16	515	8576
17	548	8592
18	582	8619
19	619	8678
20	650	8639
21	681	8605
22	707	8526
23	737	8478
24	766	8431
25	796	8394
26	826	8359
27	856	8318
28	885	8275
29	916	8245
30	942	8175
31	969	8123
32	998	8079
33	1029	8057
34	1058	8013
35	1089	7987
36	1120	7961
37	1152	7945
38	1181	7905
39	1208	7855
40	1238	7821
41	1269	7799
42	1299	7766
43	1330	7742
44	1367	7748
45	1398	7724
46	1427	7682
47	1458	7656
48	1487	7619
49	1518	7592
50	1546	7551
51	1584	7558
52	1617	7537
53	1644	7492
54	1675	7463
55	1707	7438
56	1733	7390
57	1761	7351
58	1799	7348
59	1825	7300
60	1854	7267
61	1883	7231
62	1911	7192
63	1938	7146
64	1964	7103
65	1993	7068
66	2022	7033
67	2055	7011
68	2084	6977
69	2112	6941
70	2140	6902
71	2167	6863
72	2195	6826
73	2226	6801
74	2256	6770
75	2286	6738
76	2315	6704
77	2345	6676
78	2384	6670
79	2420	6656
80	2451	6627
81	2485	6607
82	2515	6576
83	2537	6526
84	2568	6495
85	2599	6468
86	2631	6443
87	2661	6411
88	2691	6381
89	2720	6346
90	2749	6315
91	2779	6285
92	2809	6253
93	2839	6221
94	2868	6190
95	2896	6155
96	2926	6124
97	2955	6091
98	2985	6062
99	3018	6036
100	3064	6037
101	3098	6013
102	3124	5976
103	3155	5946
104	3181	5908
105	3209	5873
106	3237	5839
107	3263	5800
108	3290	5766
109	3318	5731
110	3342	5690
111	3373	5662
112	3402	5630
113	3429	5596
114	3457	5562
115	3486	5529
116	3514	5497
117	3542	5464
118	3572	5433
119	3599	5399
120	3630	5371
121	3660	5340
122	3686	5305
123	3712	5269
124	3740	5237
125	3770	5206
126	3792	5165
127	3820	5133
128	3848	5102
129	3875	5068
130	3904	5036
131	3935	5009
132	3967	4981
133	3998	4952
134	4032	4928
135	4069	4907
136	4095	4873
137	4124	4841
138	4155	4813
139	4181	4778
140	4212	4750
141	4243	4722
142	4272	4690
143	4302	4661
144	4329	4628
145	4359	4598
146	4387	4566
147	4416	4535
148	4446	4505
149	4474	4474
150	4511	4451
151	4538	4419
152	4568	4389
153	4594	4355
154	4622	4324
155	4649	4291
156	4676	4259
157	4703	4227
158	4729	4194
159	4758	4163
160	4786	4132
161	4813	4100
162	4840	4068
163	4869	4038
164	4895	4005
165	4919	3971
166	4947	3940
167	4974	3908
168	5003	3878
169	5033	3848
170	5058	3815
171	5085	3784
172	5115	3755
173	5143	3724
174	5172	3694
175	5200	3663
176	5226	3632
177	5253	3600
178	5281	3570
179	5309	3539
180	5336	3508
181	5365	3478
182	5390	3446
183	5419	3416
184	5443	3383
185	5471	3353
186	5498	3322
187	5526	3292
188	5557	3263
189	5588	3235
190	5616	3205
191	5643	3174
192	5673	3145
193	5705	3117
194	5733	3087
195	5758	3055
196	5785	3025
197	5810	2993
198	5840	2964
199	5859	2929
200	5888	2900
201	5917	2871
202	5946	2841
203	5972	2810
204	6000	2780
205	6033	2752
206	6064	2724
207	6090	2693
208	6128	2668
209	6159	2639
210	6190	2611
211	6216	2580
212	6247	2551
213	6275	2522
214	6307	2493
215	6337	2464
216	6366	2434
217	6393	2404
218	6420	2374
219	6445	2343
220	6471	2313
221	6499	2283
222	6537	2257
223	6565	2227
224	6595	2198
225	6623	2168
226	6650	2138
227	6680	2109
228	6706	2079
229	6735	2049
230	6761	2019
231	6788	1989
232	6814	1959
233	6845	1930
234	6875	1901
235	6906	1872
236	6937	1844
237	6961	1813
238	6989	1783
239	7016	1754
240	7045	1724
241	7072	1694
242	7097	1664
243	7127	1635
244	7155	1606
245	7184	1576
246	7210	1547
247	7231	1516
248	7259	1486
249	7286	1457
250	7315	1428
251	7349	1399
252	7374	1369
253	7400	1340
254	7430	1311
255	7457	1281
256	7484	1252
257	7513	1223
258	7541	1193
259	7566	1164
260	7594	1134
261	7617	1104
262	7641	1075
263	7670	1046
264	7698	1016
265	7726	987
266	7754	958
267	7779	928
268	7809	899
269	7838	870
270	7862	841
271	7890	812
272	7916	782
273	7943	753
274	7969	724
275	7995	695
276	8022	666
277	8045	636
278	8074	607
279	8103	578
280	8133	549
281	8161	520
282	8188	491
283	8214	462
284	8238	433
285	8263	404
286	8289	375
287	8317	346
288	8347	317
289	8371	288
290	8399	259
291	8426	230
292	8452	201
293	8477	173
294	8505	144
295	8537	115
296	8567	86
297	8596	57
298	8623	28
299	8650	0
