iter	Accuracy	MultiClass
0	0.9620708569	1.027520023
1	0.9619307678	0.9644859497
2	0.9617598844	0.9080993662
3	0.962403813	0.8566561852
4	0.9627193133	0.8107827783
5	0.9625969845	0.7683383762
6	0.9624815727	0.7295057581
7	0.9622596541	0.6936847558
8	0.9623514779	0.6605147621
9	0.962459953	0.6296463816
10	0.9628627482	0.6012234763
11	0.9627869479	0.5746426906
12	0.9626410117	0.5497476805
13	0.9625751575	0.526937443
14	0.9625547692	0.5052633195
15	0.9627345151	0.4848417137
16	0.962737833	0.4657780738
17	0.9627761417	0.4475960383
18	0.962788958	0.4308566844
19	0.9629022878	0.4148322485
20	0.9629388397	0.399613927
21	0.962961039	0.3856244681
22	0.9629752785	0.3722366832
23	0.9631426408	0.3592671306
24	0.9631274652	0.3472270561
25	0.9630778068	0.3359374486
26	0.9632178707	0.3249508421
27	0.9631805187	0.3148744711
28	0.9632119279	0.3052164785
29	0.9633045232	0.2959393281
30	0.9633057561	0.2872020997
31	0.9633395387	0.2789910927
32	0.9634817853	0.2710044367
33	0.963542456	0.2633673537
34	0.9636862936	0.2560439742
35	0.9636686226	0.249307232
36	0.9637611833	0.2428621999
37	0.9636899037	0.2366994903
38	0.9638700982	0.2306432664
39	0.9639744987	0.2249788806
40	0.9641082621	0.2195196477
41	0.964135753	0.2146130526
42	0.9641425407	0.2095217844
43	0.9642359988	0.204693392
44	0.9642449714	0.2003281721
45	0.9642689519	0.1959766823
46	0.9643443357	0.1919883008
47	0.964297066	0.1880267876
48	0.9642715489	0.1842912783
49	0.9642299339	0.1806541499
50	0.9642682604	0.177092042
51	0.9642891132	0.1737405359
52	0.9643099207	0.1705805841
53	0.9642960393	0.1675554315
54	0.9642952709	0.1648301369
55	0.9643227529	0.1621811806
56	0.9643377767	0.1597561698
57	0.9643387965	0.1572961252
58	0.964369703	0.1548015425
59	0.964365091	0.1525013183
60	0.9643585842	0.1503806446
61	0.9643592007	0.1482375356
62	0.9643749769	0.1462301474
63	0.9643784172	0.144385054
64	0.9643846202	0.14254446
65	0.9644011194	0.1408705755
66	0.9644092171	0.1392736079
67	0.96441268	0.1376599031
68	0.9644126869	0.1362108517
69	0.9644568741	0.1348263884
70	0.9644761972	0.1335706406
71	0.9644837012	0.1322203965
72	0.9644731833	0.1309451031
73	0.9645213048	0.12976775
74	0.9645145849	0.1284856092
75	0.9645558872	0.1273529209
76	0.964547173	0.1262571665
77	0.964544791	0.1250805041
78	0.9645772953	0.1241142984
79	0.9646164968	0.123326544
80	0.9647193467	0.1222684573
81	0.9647533196	0.1214222985
82	0.964736698	0.1205766495
83	0.9647086607	0.1197833492
84	0.9648452321	0.1191040875
85	0.9648963749	0.1184427885
86	0.9649070904	0.1179186614
87	0.9649447009	0.1173012186
88	0.9649241449	0.1166750007
89	0.9648963591	0.1161818962
90	0.9649200199	0.1154929984
91	0.9649843894	0.1149024322
92	0.9650908628	0.1142463953
93	0.9650473689	0.1136907
94	0.9650387613	0.1132072109
95	0.965031067	0.1126578331
96	0.9651051566	0.1121356886
97	0.965123528	0.1118056466
98	0.9651412148	0.1114682013
99	0.9651345019	0.1111071946
100	0.965120711	0.1106496245
101	0.9650794769	0.1103203427
102	0.9650810135	0.109933863
103	0.9651206342	0.1096202944
104	0.965132986	0.1093600661
105	0.9651802851	0.1090227203
106	0.9652201642	0.1087460486
107	0.9652077671	0.1085487542
108	0.9652164813	0.1083923072
109	0.9652211999	0.1080764865
110	0.9652130953	0.1076667061
111	0.9652352264	0.10735436
112	0.9652194343	0.1071374265
113	0.9652544429	0.1069162047
114	0.9652507442	0.1067355725
115	0.9652454703	0.106533694
116	0.9652895737	0.1063401314
117	0.9653355877	0.1060322288
118	0.9653394314	0.1059007565
119	0.9653465546	0.1056684925
120	0.9653396898	0.1055644655
121	0.9654675923	0.1052239591
122	0.9654785593	0.10511516
123	0.9655367188	0.1049424456
124	0.9655263455	0.1047258867
125	0.9655371153	0.1045769267
126	0.9655371153	0.1044246395
127	0.9655772459	0.1043223035
128	0.9655752899	0.1042285077
129	0.9655969111	0.1040802106
130	0.9656848508	0.1039511796
131	0.9656548192	0.1038627756
132	0.9656912894	0.103715397
133	0.9656979481	0.1035722021
134	0.9657507884	0.1033723385
135	0.9657644796	0.1032753901
136	0.9657950281	0.1031742899
137	0.9658200896	0.1031064673
138	0.9658207445	0.1028861777
139	0.9658329443	0.1027789497
140	0.9658153641	0.1027044603
141	0.9658871083	0.1025934477
142	0.965899605	0.1024940771
143	0.9659198414	0.1023307348
144	0.9659356788	0.1022326827
145	0.9659654589	0.1020968548
146	0.965954127	0.1020136491
147	0.966007568	0.1019083358
148	0.9660061901	0.1018338587
149	0.966004386	0.1017385603
150	0.9660405664	0.1016587982
151	0.9660529181	0.10156213
152	0.966048816	0.1014455261
153	0.9661164127	0.1013081724
154	0.9660761756	0.1011754111
155	0.9661239393	0.1011414473
156	0.966162837	0.1010051665
157	0.9662034844	0.1008434229
158	0.9662194284	0.1007910511
159	0.9662309506	0.100718663
160	0.9662681054	0.1005635398
161	0.9662753736	0.1004795104
162	0.966246423	0.1003837795
163	0.9662228913	0.1002442824
164	0.9662539043	0.1001449317
165	0.9662835779	0.1000146047
166	0.9663118054	0.09992900776
167	0.9663215464	0.09981709922
168	0.9663012035	0.09971667676
169	0.9662731662	0.09964907059
170	0.966246933	0.09959174465
171	0.9662650231	0.09951892609
172	0.9663462429	0.09944522861
173	0.9663770429	0.09937991824
174	0.9663941132	0.09927791984
175	0.9664680649	0.09915635701
176	0.9665140176	0.09901198311
177	0.9665299616	0.09896090883
178	0.9666030225	0.09882290042
179	0.9666559082	0.09873311072
180	0.9667306281	0.09864674294
181	0.9667935063	0.09854155255
182	0.9668052416	0.09849309964
183	0.9668052416	0.09844221367
184	0.9667836657	0.09841120918
185	0.9667866415	0.09834036827
186	0.9667882778	0.09826662419
187	0.9668507072	0.0981608089
188	0.966861826	0.09811031958
189	0.966879361	0.0980263039
190	0.9669256787	0.0979179232
191	0.966953716	0.09785952926
192	0.9669927655	0.09779495373
193	0.9670032679	0.09772425321
194	0.9670107491	0.09767572012
195	0.9670351942	0.09761826259
196	0.9670295623	0.09753106333
197	0.9670656361	0.09746239238
198	0.9671023264	0.09740978231
199	0.9671053021	0.09735804629
200	0.9671265811	0.09723310419
201	0.9671598923	0.09718138477
202	0.967178089	0.0971272798
203	0.9671592758	0.09704001367
204	0.9671651661	0.09697577204
205	0.9671802352	0.0969308766
206	0.9672407087	0.09687888131
207	0.9672262108	0.09679393817
208	0.9672530604	0.09672818817
209	0.9672441944	0.09668126091
210	0.9672642858	0.09660003794
211	0.9673347518	0.09656328148
212	0.9673519671	0.09648617763
213	0.967352835	0.09638764846
214	0.967362569	0.09634287855
215	0.9674484078	0.09623986557
216	0.9675002737	0.09613951329
217	0.9675252287	0.09604244283
218	0.9675247188	0.09599089748
219	0.9675348177	0.09593879181
220	0.9675553125	0.09587529551
221	0.9675884718	0.09583150437
222	0.9676105575	0.09575558305
223	0.9676055421	0.0956784986
224	0.967695993	0.09560602593
225	0.9676708249	0.0955183091
226	0.9676965482	0.09546110434
227	0.9677146384	0.09541897685
228	0.9676749724	0.09537902397
229	0.9677439539	0.09532167604
230	0.9677752638	0.09527956495
231	0.9678316805	0.09518276935
232	0.9678445352	0.09505684364
233	0.9678499156	0.09500941367
234	0.9679168959	0.09495733813
235	0.9679636851	0.09487874456
236	0.9680487556	0.09483000527
237	0.9680358939	0.09477441223
238	0.968034661	0.09467507484
239	0.9680643346	0.09458301338
240	0.9680626983	0.09453397238
241	0.968100005	0.09448333716
242	0.9681238336	0.09442540168
243	0.9682117733	0.09438468332
244	0.9681768712	0.09434496431
245	0.968239346	0.09428241371
246	0.9682531821	0.09423388965
247	0.9682934646	0.09417010571
248	0.9682717822	0.09409954806
249	0.9683355283	0.0939930403
250	0.9683098503	0.09396520123
251	0.9682982216	0.09389606488
252	0.9683680711	0.09385867089
253	0.968389137	0.09382841919
254	0.9683990841	0.09378458669
255	0.9684230193	0.09373533506
256	0.9684411094	0.09368602769
257	0.9684499755	0.09362264136
258	0.9684749305	0.09357858458
259	0.968430036	0.09351807773
260	0.9684364362	0.09346516268
261	0.968437821	0.09339401353
262	0.9684413067	0.09330437487
263	0.9684192209	0.09324807936
264	0.9684476615	0.09321627822
265	0.9684568856	0.09317159636
266	0.9685466747	0.09311487669
267	0.9684866658	0.09305096152
268	0.9685414009	0.09299479696
269	0.9685995151	0.09295571034
270	0.9686380547	0.09287630993
271	0.9686514263	0.09282465216
272	0.9686662823	0.09273120263
273	0.9686880712	0.09269973725
274	0.9686845855	0.0926647414
275	0.9687077977	0.09259884622
276	0.9687544804	0.09254902013
277	0.9687562232	0.09249628368
278	0.9687509947	0.09246646709
279	0.9687587344	0.09242289723
280	0.968723787	0.09236532392
